,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Exports of Liquefied Natural Gas (LNG) ,,,,,,,,,,,,,,,,,,,,,
,Month of Departure,,,Country of LNG Destination,Exporter,,Licence or Order,Mode of Transportation,Export Terminal,,Vessel,,,LNG Volume (Gas Equivalent) (10³ m³),Export Value ($CDN),Average Price ($CDN/GJ),,,,,
,Long-term,,,,,,,,,,,,,,,,,,,,
,2025-06,,,"Korea, Republic of",LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,Gaslog Glasgow,,, 101 294.5,  0,  0.00,,,,,
,2025-07,,,China,LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,Diamond Gas Metropolis,,, 95 887.0,  0,  0.00,,,,,
,,,,Japan,LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,Puteri Sejinjang,,, 96 221.5,  0,  0.00,,,,,
,,,,China,LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,WUDANG,,, 95 893.0,  0,  0.00,,,,,
,2025-08,,,"Korea, Republic of",LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,Extremadura Knutsen,,, 99 182.4,  0,  0.00,,,,,
,,,,"Korea, Republic of",LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,Gaslog Glasgow,,, 99 145.9,  0,  0.00,,,,,
,,,,"Korea, Republic of",LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,MOL AZURE,,, 99 241.0,  0,  0.00,,,,,
,,,,"Korea, Republic of",LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,Murex,,, 100 787.0,  0,  0.00,,,,,
,,,,Japan,LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,Puteri Mayang,,, 96 022.3,  0,  0.00,,,,,
,2025-09,,,"Korea, Republic of",LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,Diamond Gas Victoria,,, 100 387.0,  0,  0.00,,,,,
,,,,Japan,LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,NEW BRAVE,,, 99 033.7,  0,  0.00,,,,,
,,,,Japan,LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,Puteri Mahsuri,,, 95 852.3,  0,  0.00,,,,,
,,,,"Korea, Republic of",LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,Puteri Sejinjang,,, 96 113.5,  0,  0.00,,,,,
,,,,China,LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,WUDANG,,, 99 623.0,  0,  0.00,,,,,
,2025-10,,,Japan,LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,Diamond Gas Crystal,,, 95 763.0,  0,  0.00,,,,,
,,,,"Taiwan, Province of China",LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,Huelva Knutsen,,, 98 685.0,  0,  0.00,,,,,
,,,,"Taiwan, Province of China",LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,Maran Gas Hector,,, 100 560.0,  0,  0.00,,,,,
,,,,Japan,LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,New Brave,,, 98 904.0,  0,  0.00,,,,,
,,,,"Korea, Republic of",LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,New Green,,, 100 135.0,  0,  0.00,,,,,
,,,,"Korea, Republic of",LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,Puteri Sejinjang,,, 95 887.0,  0,  0.00,,,,,
,,,,China,LNG Canada Development Inc.,,AO-001-GL-330,Marine,"Kitimat,BC",,Shaolin,,, 95 654.0,  0,  0.00,,,,,
